Country,Ruling Party,Party Code,Press Freedom,E-Citizenship,Since,
Afghanistan,Independent,,,,,
Angola,,MPLA,6.57,2.26,,
Albania,,LSI,7.01,6.68,2017,
Algeria,,,4.91,5.66,,
Argentina,,PJ,7.21,7.53,2019,
Armenia,Independent,,,,2018,
Australia,,LP,8.36,8.52,,
Austria,,GRÜNE,8.79,7.98,,
Azerbaijan,,YAP,,,,
Burundi,,CNDD-FDD,4.88,1,,
Belgium,,Open-VLD,9.38,8.9,Oct 2020,MR Prior to Oct 2020
Benin,Independent,,6.05,2.16,,
Burkina Faso,,MPP,7.94,1.63,Not in GPS List,
Bangladesh,,AL,4.61,2.64,,
Bulgaria,Independent,BSP,6.16,7.1,Supported by BSP,
Bahrain,NA,,,,,
Bahamas,,FNM,,,,
Bosnia,,,7.29,6.56,Link,
Belarus,Independent,,,,,
Belize,,PUP,,,Nov 2020,UDP Before Nov 2020
Bolivia,,MAS,6.39,5.45,Nov 2020,Social Democratic Party before this
Brazil,,PSL,6.3,7.2,,
Barbados,Independent,,,,,
Bhutan,,DNT,,,,
Botswana,,BDP,7.93,5.03,,
Cambodia,,CPP,4.97,6.61,,
Cameroon,,CPDM,5.35,2.62,,
Canada,,LP,8.93,9.41,,
Cape Verde,,PAICV,,,Nov 2021,MPD Before
Chad,,MPS,5.8,1.06,,
Chile,Independent,,7.34,7.91,,
Colombia,,PCD,5.36,6.45,,
Comoros,,CRC,,,,
Costa Rica,,PAC,9.74,7.53,,
Cote d'Ivorie,,RHDP,7.14,2.88,,
Croatia,Independent,,7.34,6.87,May 2020,Independent before too
Cuba,,PCC,,,,
Cyprus,,DISY,,,,
Czech Republic,,CSSD,7.91,7.63,"Party of Civic Rights actually, but has no data in GPS",
Democratic Republic of the Congo,,FCC,4.75,1.2,,
Denmark,,SD,9.77,9.66,,
Djibouti,,UMP,,,,
Dominican Republic,,PLD,7.63,5.94,Until aug 2020,PRM Since then 
Ecuador,,PAIS,6.72,5.96,Until May 2021,CREO since then 
Egypt,Independent,,3.8,5.78,,
El Salvador,,GANA,7.02,5.23,Since June 2019,
Equatorial Guinea,,PDGE,,,,
Eritrea,,PFDJ,,,,
Estonia,Independent,,8.93,7.83,Independent since Oct 2021,
Eswatini,Independent,,,,,
Ethiopia,Independent,,,,,
Fiji,,FF,,,,
Finland,Independent,,9.97,8.11,,
France,,REM,8.01,8.74,,
Gabon,,PDG,,,,
Georgia,Independent,,7.25,8.22,,
Germany,,CDU,8.93,8.16,,
Ghana,,NPP,8.17,3.57,,
Greece,,ND,7.2,7.93,Independent since march 2020,
Grenada,,NNP,,,Double check later,
Guatemala,,FCN,6.02,4.09,Until Jan 2020,Vamos after that
Guinea,,RPG AR,,,,
Guinea-Bissau,,PAIGC,,,Until Feb 2020,Madem Since then
Guyana,,APNU/AFC,,,Until Aug 2020,PPP-C since then 
Haiti,Independet,,,,,
Hungary,,Fidesz,6.86,8.16,,
Iceland,,VG,,,,
India,,BJP,5,3.41,,
